"Question","Answer","Tags"
"Commutative Laws #1: What does the Commutative Law state in Boolean algebra?","It states that the order of operands in an AND or an OR operation can be swapped without affecting the result.","nand2tetris:CommutativeLaws"
"Commutative Laws #2: Give the formula for the Commutative Law of AND using written notation.","x AND y = y AND x","nand2tetris:CommutativeLaws"
"Commutative Laws #3: Give the formula for the Commutative Law of OR using written notation.","x OR y = y OR x","nand2tetris:CommutativeLaws"
"Commutative Laws #4: Why is the Commutative Law important in Boolean simplification?","It allows us to rearrange variables when simplifying, making it easier to spot further simplifications or patterns.","nand2tetris:CommutativeLaws"
"Commutative Laws #5: Provide an example of the Commutative Law for AND using variables A and B.","A AND B = B AND A","nand2tetris:CommutativeLaws"
"Commutative Laws #6: Provide an example of the Commutative Law for OR using variables P and Q.","P OR Q = Q OR P","nand2tetris:CommutativeLaws"
"Commutative Laws #7: True or False: Swapping the order of variables in a Boolean expression changes the output.","False. By the Commutative Law, the output remains the same.","nand2tetris:CommutativeLaws"
"Commutative Laws #8: In practical terms, how can the Commutative Law help when drawing logic gate diagrams?","It allows reordering inputs to gates without affecting the overall logic, making circuit layouts more flexible.","nand2tetris:CommutativeLaws"
"Commutative Laws #9: When might you use the Commutative Law in Boolean algebra proofs?","Whenever you want to reorder terms to align with a standard form or to combine like terms in further simplification steps.","nand2tetris:CommutativeLaws"
"Commutative Laws #10: Does the Commutative Law apply to subtraction or division in ordinary arithmetic?","No. It applies to addition and multiplication in standard arithmetic, but not to subtraction or division. In Boolean algebra, it applies to AND and OR.","nand2tetris:CommutativeLaws"

"Associative Laws #1: What does the Associative Law state in Boolean algebra?","It states that the grouping of operands in consecutive AND or OR operations does not affect the final result.","nand2tetris:AssociativeLaws"
"Associative Laws #2: Give the formula for the Associative Law of AND in written notation.","x AND (y AND z) = (x AND y) AND z","nand2tetris:AssociativeLaws"
"Associative Laws #3: Give the formula for the Associative Law of OR in written notation.","x OR (y OR z) = (x OR y) OR z","nand2tetris:AssociativeLaws"
"Associative Laws #4: Why does the Associative Law simplify Boolean expression parsing?","Because you can omit or shift parentheses in chains of ANDs or ORs without changing the result, making expressions easier to read and simplify.","nand2tetris:AssociativeLaws"
"Associative Laws #5: Provide a real-world analogy for the Associative Law.","Just as in arithmetic, (2 + (3 + 4)) = ((2 + 3) + 4). Grouping additions (or Boolean operations) differently does not change the final result.","nand2tetris:AssociativeLaws"
"Associative Laws #6: Show an example of the Associative Law for AND with variables A, B, C.","A AND (B AND C) = (A AND B) AND C","nand2tetris:AssociativeLaws"
"Associative Laws #7: Show an example of the Associative Law for OR with variables X, Y, Z.","X OR (Y OR Z) = (X OR Y) OR Z","nand2tetris:AssociativeLaws"
